id,unique_key,type,image,updated_at,author,status,related_ids,quantity,name_en,name_jp,name_cn,name_tw,name_kr,description_en,description_jp
4,sunset-beach-painting,Decoration,https://images.unsplash.com/photo-1579783902614-a3fb3927b6a5?q=80&w=800&auto=format&fit=crop,2024-01-25,WikiTeam,published,paradise-photo-contest,1,Sunset Beach Painting,サンセットビーチペインティング,日落海滩画作,日落海灘畫作,선셋 비치 페인팅,Beautiful painting of a Venus Island sunset that displays beautifully in any owner room,オーナールームに美しく飾れるヴィーナス島の夕日の絵画
5,tropical-plant-set,Decoration,https://images.unsplash.com/photo-1509587584298-0f3b3a3a1797?q=80&w=800&auto=format&fit=crop,2024-01-21,WikiTeam,published,,3,Tropical Plant Set,トロピカルプラントセット,热带植物套装,熱帶植物套裝,트로피컬 플랜트 세트,Collection of exotic tropical plants including palms ferns and flowering plants,ヤシ、シダ、花の植物を含むエキゾチックな熱帯植物のコレクション
6,luxury-sofa,Decoration,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?q=80&w=800&auto=format&fit=crop,2024-01-19,WikiTeam,published,,2,Luxury Sofa,ラグジュアリーソファ,豪华沙发,豪華沙發,럭셔리 소파,Comfortable and stylish sofa perfect for relaxing after a long day of volleyball,バレーボールの長い一日の後にリラックスするのに最適な快適でスタイリッシュなソファ
7,ssr-gacha-ticket,Consumable,https://images.unsplash.com/photo-1594736797933-d0501ba2fe65?q=80&w=800&auto=format&fit=crop,2024-01-30,WikiTeam,published,championship-gacha|starry-night-gacha,10,SSR Gacha Ticket,SSRガチャチケット,SSR扭蛋券,SSR扭蛋券,SSR 가챠 티켓,Guaranteed SSR item from gacha - one of the most valuable items in the game,ガチャからSSRアイテム確定 - ゲーム内で最も価値のあるアイテムの一つ
8,stamina-drink,Consumable,https://images.unsplash.com/photo-1622597467836-f3285f2131b8?q=80&w=800&auto=format&fit=crop,2024-01-15,WikiTeam,published,,50,Stamina Drink,スタミナドリンク,体力饮料,體力飲料,스태미나 드링크,Refreshing drink that instantly restores stamina for marathon volleyball sessions,マラソンバレーボールセッションのためにスタミナを即座に回復するリフレッシュドリンク
9,fever-booster,Consumable,https://images.unsplash.com/photo-1514733670139-4d87a1941d55?q=80&w=800&auto=format&fit=crop,2024-01-16,WikiTeam,published,beach-volleyball-tournament|advanced-match-techniques,25,Fever Booster,フィーバーブースター,狂热增强剂,狂熱增強劑,피버 부스터,Boosts fever gauge accumulation rate for high scores in tournaments,トーナメントで高スコアを出すためにフィーバーゲージ蓄積率をブースト
10,rainbow-crystal,Material,https://images.unsplash.com/photo-1518709268805-4e9042af9f23?q=80&w=800&auto=format&fit=crop,2024-01-17,WikiTeam,published,,15,Rainbow Crystal,レインボークリスタル,彩虹水晶,彩虹水晶,레인보우 크리스탈,Rare crystal that shimmers with all colors required for awakening SSR items,SSRアイテムの覚醒に必要な全色に輝く希少なクリスタル
11,ocean-fragment,Material,https://images.unsplash.com/photo-1559827260-dc66d52bef19?q=80&w=800&auto=format&fit=crop,2024-01-18,WikiTeam,published,,100,Ocean Fragment,オーシャンフラグメント,海洋碎片,海洋碎片,오션 프래그먼트,Mysterious fragments found while enjoying ocean activities used in crafting,海のアクティビティ中に見つかるクラフトに使用される神秘的な破片
12,golden-trophy,Decoration,https://images.unsplash.com/photo-1579783902614-a3fb3927b6a5?q=80&w=800&auto=format&fit=crop,2024-01-20,WikiTeam,published,beach-volleyball-tournament,1,Golden Trophy,ゴールデントロフィー,金色奖杯,金色獎盃,골든 트로피,Prestigious trophy from tournament victory to showcase your volleyball prowess,バレーボールの腕前を披露するトーナメント優勝の名誉あるトロフィー
14,photo-frame-sakura,Decoration,https://images.unsplash.com/photo-1582735689369-4fe89db7114c?q=80&w=800&auto=format&fit=crop,2024-01-25,WikiTeam,published,paradise-photo-contest,5,Sakura Photo Frame,桜フォトフレーム,樱花相框,櫻花相框,사쿠라 포토 프레임,Decorative frame with cherry blossom design for displaying favorite moments,お気に入りの瞬間を飾るための桜デザインの装飾フレーム
15,exp-booster-small,Consumable,https://images.unsplash.com/photo-1610337673044-720471f83677?q=80&w=800&auto=format&fit=crop,2024-01-26,WikiTeam,published,,30,EXP Booster (Small),EXPブースター（小）,经验增强剂（小）,經驗增強劑（小）,EXP 부스터 (소),Increases experience gain for one match by boosting concentration,集中力をブーストして1試合の経験値獲得を増加
16,surfboard-decoration,Decoration,https://images.unsplash.com/photo-1544005313-94ddf0286df2?q=80&w=800&auto=format&fit=crop,2024-01-26,WikiTeam,published,,2,Surfboard Decoration,サーフボードデコレーション,冲浪板装饰,衝浪板裝飾,서프보드 데코레이션,Vibrant surfboard decoration perfect for beach-themed owner rooms,ビーチテーマのオーナールームに最適な鮮やかなサーフボード装飾
18,flower-arrangement-set,Decoration,https://images.unsplash.com/photo-1494790108377-be9c29b29330?q=80&w=800&auto=format&fit=crop,2024-01-28,WikiTeam,published,,4,Flower Arrangement Set,フラワーアレンジメントセット,插花套装,插花套裝,플라워 아レンジ먼트 세트,Elegant flower arrangement set featuring seasonal blossoms,季節の花をフィーチャーしたエレガントなフラワーアレンジメントセット
21,dream-catcher-decoration,Decoration,https://images.unsplash.com/photo-1520250497591-112f2f40a3f4?q=80&w=800&auto=format&fit=crop,2024-02-01,WikiTeam,published,dream-weaver-festival,1,Dream Catcher Ornament,ドリームキャッチャーオーナメント,捕梦网装饰,捕夢網裝飾,드림 캐처 오너먼트,Magical dream catcher that wards off nightmares and enhances dream-themed rooms,悪夢を防ぎ夢テーマの部屋を強化する魔法のドリームキャッチャー
25,cloud-shoes-decoration,Decoration,https://images.unsplash.com/photo-1549298916-b41d501d3772?q=80&w=800&auto=format&fit=crop,2024-02-05,WikiTeam,published,sky-dancer-celebration,1,Cloud Walker Shoes,クラウドウォーカーシューズ,云行鞋,雲行鞋,클라우드 워커 슈즈,Magical shoes that make you feel like you're walking on clouds,雲の上を歩いているような気分になる魔法の靴
29,wind-chime-decoration,Decoration,https://images.unsplash.com/photo-1582735689369-4fe89db7114c?q=80&w=800&auto=format&fit=crop,2024-02-09,WikiTeam,published,wind-symphony-festival,3,Wind Chime Melody,ウィンドチャイムメロディ,风铃旋律,風鈴旋律,윈드 차임 멜로디,Harmonious wind chime that creates soothing melodies in the breeze,そよ風で心地よいメロディーを作るharmoniousな風鈴
